,S&P500,Eurostoxx 50,Hang Seng,MSCI EM,SMI,US T 10-year Yield,German Gov 10-year yield,Oil futures,Gold,EURUSD,USDJPY,US IG Bonds,US HY Bonds,USDCHF
S&P500,1.0,0.5332195357360235,0.1585121287493095,0.4176941586651727,0.4632989484277574,0.23418483261363218,0.15156709883553868,0.13634881299875745,-0.04607523519595224,0.05441216997347537,0.2289015828032796,-0.14119110832943346,0.2633064754329829,0.09874033672702513
Eurostoxx 50,0.5332195357360235,1.0,0.36222273262983345,0.5495115814356694,0.8025399555826785,0.22203081820787304,0.22959536844769127,0.15729519517848645,-0.035778801232472075,-0.0327350710270079,0.19250700086873046,-0.13151465443683094,0.3940958065280322,0.10649093500924013
Hang Seng,0.1585121287493095,0.36222273262983345,1.0,0.661733973415148,0.3349392945996223,0.07311037636381153,0.07590568922864407,0.07824899528065304,0.03169854214491573,0.030768346055805456,0.04889104163618099,0.013111900736619364,0.29407274221052787,0.011458361688628094
MSCI EM,0.4176941586651727,0.5495115814356694,0.661733973415148,1.0,0.4993368579943589,0.14522985464793958,0.16236992023833194,0.16752971954896048,0.11015299985896707,0.12834075117423946,0.0900759612375412,-0.03711170904530215,0.4514386131814154,-0.022883167273773874
SMI,0.4632989484277574,0.8025399555826785,0.3349392945996223,0.4993368579943589,1.0,0.16346825817584462,0.1628293628646393,0.10618547599348363,-0.06466545549416249,-0.06230556242926308,0.1706510352022567,-0.08777296038032992,0.35690456289088,0.18567837469366522
US T 10-year Yield,0.23418483261363218,0.22203081820787304,0.07311037636381153,0.14522985464793958,0.16346825817584462,1.0,0.5023675478305377,0.15700856004548067,-0.09964246561184947,-0.07398338294532242,0.23880883719359242,-0.8671642767348465,-0.02330862374631696,0.15037251245975777
German Gov 10-year yield,0.15156709883553868,0.22959536844769127,0.07590568922864407,0.16236992023833194,0.1628293628646393,0.5023675478305377,1.0,0.12530815429914255,-0.06655547301247594,0.04802538820912287,0.15972074009323897,-0.5017685052947198,0.056620858948390564,0.015727097928711957
Oil futures,0.13634881299875745,0.15729519517848645,0.07824899528065304,0.16752971954896048,0.10618547599348363,0.15700856004548067,0.12530815429914255,1.0,0.18391236154024537,0.09793122234399308,0.06506881753789422,-0.11398275656362646,0.1525161093224549,-0.04841249123155583
Gold,-0.04607523519595224,-0.035778801232472075,0.03169854214491573,0.11015299985896707,-0.06466545549416249,-0.09964246561184947,-0.06655547301247594,0.18391236154024537,1.0,0.3194012021709637,-0.20780632666356327,0.11347225728338932,0.039846032843216465,-0.3055977138660535
EURUSD,0.05441216997347537,-0.0327350710270079,0.030768346055805456,0.12834075117423946,-0.06230556242926308,-0.07398338294532242,0.04802538820912287,0.09793122234399308,0.3194012021709637,1.0,-0.30891972960485353,0.0846201268531363,0.05365017414292204,-0.7236544252080559
USDJPY,0.2289015828032796,0.19250700086873046,0.04889104163618099,0.0900759612375412,0.1706510352022567,0.23880883719359242,0.15972074009323897,0.06506881753789422,-0.20780632666356327,-0.30891972960485353,1.0,-0.2017274618730349,0.10826029594672898,0.4136999759914973
US IG Bonds,-0.14119110832943346,-0.13151465443683094,0.013111900736619364,-0.03711170904530215,-0.08777296038032992,-0.8671642767348465,-0.5017685052947198,-0.11398275656362646,0.11347225728338932,0.0846201268531363,-0.2017274618730349,1.0,0.2503010143325722,-0.13754674073384862
US HY Bonds,0.2633064754329829,0.3940958065280322,0.29407274221052787,0.4514386131814154,0.35690456289088,-0.02330862374631696,0.056620858948390564,0.1525161093224549,0.039846032843216465,0.05365017414292204,0.10826029594672898,0.2503010143325722,1.0,-0.0024032906669067882
USDCHF,0.09874033672702513,0.10649093500924013,0.011458361688628094,-0.022883167273773874,0.18567837469366522,0.15037251245975777,0.015727097928711957,-0.04841249123155583,-0.3055977138660535,-0.7236544252080559,0.4136999759914973,-0.13754674073384862,-0.0024032906669067882,1.0
