,Eigenvalue,Explained_variance_ratio,Cumulative_explained_variance
PC1,3.613555286152974,0.2581110918680695,0.2581110918680695
PC2,2.469089314775982,0.1763635224839987,0.43447461435206824
PC3,1.941118556571062,0.13865132546936157,0.5731259398214298
PC4,1.0189191248032312,0.07277993748594508,0.6459058773073749
PC5,0.9547322529831966,0.06819516092737118,0.7141010382347461
PC6,0.785001740206553,0.056071552871896635,0.7701725911066428
PC7,0.7043122843622867,0.0503080203115919,0.8204806114182347
PC8,0.6652941786689976,0.047521012762071255,0.8680016241803059
PC9,0.5530807239298228,0.039505765994987334,0.9075073901752932
PC10,0.49053819337933274,0.03503844238423805,0.9425458325595313
PC11,0.2728739479724735,0.019490996283748105,0.9620368288432793
PC12,0.2578046239850156,0.01841461599892968,0.980451444842209
PC13,0.17293333138388775,0.012352380813134839,0.9928038256553439
PC14,0.10074644082518648,0.0071961743446561765,1.0
